.007,.006
.217,.047
.075,.024
.019,.019
.029,.021
.013,.014
.298,.094
-.002,.004
-.002,.006
.028,.023
-.005,.004
.001,.004
.006,.008
.002,.008
.073,.017
-.001,.005
0,.005
.003,.005
.005,.014
-.018,.031
.008,.008
.009,.02
.037,.015
.046,.011
.039,.013
.038,.01
.02,.017
.236,.026
.095,.018
.089,.012
.063,.014
.144,.02
.141,.02
.211,.025
.095,.036
2303.7,1126.6
11525.4,1949.5
.109,.022
3037.1,15468.4
863.5,1346.4
.014,.007
11839.4,3089.2
.464,.072
.012,.009
.156,.057
-.029,.009
.019,.038
2490.1,1327.1
-.019,.011
.011,.005
.067,.031
.243,.062
.002,.013
.002,.007
.065,.032
.001,.048
-.012,.082
2388,1084.2
4138.1,2098.2
-183.5,1540.8
.008,.009
.019,.005
.01,.006
.369,.074
.027,.004
.133,.052
14799.4,3010
.085,.034
-.007,.015
5468.9,1798.9
-.03,.011
3596.3,2006.6
.068,.01
.028,.009
.037,.06
.016,.033
.029,.01
.021,.007
.047,.014
-.111,.053
.104,.036
6695.2,1904.5
.009,.005
14355.6,2590.6
.23,.028
2804.5,999.8
.043,.015
.004,.016
.222,.05
.009,.005
.019,.007
-.036,.045
.07,.033
.023,.008
12065.1,4154.2
2782.7,970.7
0,.062
658.8,2510.5
.021,.007
.001,.005
726.7,2435.3
.006,.01
2370.4,1457.5
.017,.005
-.01,.014
13379.7,2044
.016,.005
2533,2193.6
.25,.078
.057,.018
.244,.068
.26,.078
.223,.078
.182,.063
.117,.066
.191,.065
1.73,.88
.048,.037
.025,.043
.024,.159
59.2,25.1
.23,.18
.22,.16
.21,.07
73.09999999999999,29.6
125.3,135.2
48,189.7
.006,.029
.002,.064
.03,.71
.017,.094
.053,.081
.053,.076
.067,.12
.043,.02
157.9,138.2
91.09999999999999,208.9
.08,.05
.019,.025
.031,.013
.003,.02
.29,.29
.02,.11
1.84,.67
.009,.008
.055,.092
10.2,100.1
.04,.09
.002,.01
1.38,.53
.3,.3
.11,.22
.002,.062
.24,.73
.014,.113
.23,.15
.002,.135
.26,.6
1.15,.5600000000000001
.03,.06
.05,.71
.12,.24
29.7,101.4
.079,.062
1.173,4.41
.843,3.18
.9419999999999999,.78
1.232,2.7
1.432,3.05
1.173,2.7
1.378,1.15
2.491,.318
.6840000000000001,.178
-.0519,.0103
-.269,.0673
.0453,.0117
-.0431,.0177
-.0301,.0188
-.0505,.0233
.0117,.02
-.152,.0375
.0535,.0238
-.308,.117
-.294,.0663
-.148,.0503
.0506,.0113
-.0193,.0169
.0412,.0085
-.0441,.0101
-.0616,.0251
-.0266,.0171
-.0518,.0231
-.0534,.0268
-.319,.117
.0277,.00772
-.21,.07
-.28,.08
-.16,.02
.14,.2
-.33,.08
-.12,.02
-.14,.02
-.12,.07
-.19,.07
3.34,.29
-.07,.03
-.23,.08
-.06,.07
-.18,.02
-.637,.242
-.629,.257
1.695,.5590000000000001
1.737,.518
8.800000000000001,3.2
.023,.022
.004,.023
.001,.006
.008,.008
.012,.007
.011,.005
.014,.005
.015,.01
.014,.011
.009,.009
.013,.008
.02,.012
.001,.008
.002,.015
.002,.027
.007,.008
.009,.009
.056,.029
.02,.015
.012,.007
.043,.048
.037,.031
.003,.023
.012,.007
.021,.012
.003,.018
.03,.008
.16,.011
.014,.008
.009,.01
.001,.027
.048,.023
.007,.008
.008,.01
.029,.008
.039,.024
.016,.008
.02,.01
.004,.011
.02,.01
.014,.005
.001,.008
.008,.009
-.1,.01
.003,.005
.002,.007
.018,.022
.052,.032
.019,.019
.006,.003
.003,.003
.008,.01
.004,.008
.02,.018
.007,.007
.007,.004
1.00000000000e-06,.00842
.005,.003
.011,.011
.005,.004
.047,.029
.002,.004
.003,.002
.001,.008
.006,.016
.007,.005
.018,.02
.003,.002
-.04,.03
-.03,.02
.04,.05
.95,.08
-.19,.33
-.01,.02
.64,.04
1.04,.05
.09,.05
.64,.07
-.06,.02
0,.01
-.28,.25
0,.02
.66,.05
1.03,.08
-.46,.024
.63,.06
-.06,.02
1.11,.06
-.02,.01
-.58,.3
-.04,.02
.01,.01
-.05,.06
.01,.01
-.03,.04
.01,.02
.02,.02
0,.01
.03,.03
-.04,.05
-.01,.01
9.971,4.42
.036,.015
4.425,2.703
.035,.016
.067,.025
6.121,2.825
.031,.016
8.186999999999999,3.783
.065,.026
5.766,2.589
5.769,2.703
.041,.016
